State Name,State Code,SDPC Member (Yes/No),Primary State Student Data Privacy Laws (with statute numbers),"Federal Laws (FERPA, PPRA, COPPA)",State Education Agency Name,State Data Privacy Contact Email,State Data Privacy Contact Phone,"Required State Roles (Data Manager, Security Officer, Records Officer - with statute references)",Key Compliance Requirements,State DOE Privacy Website URL,DPA Template Available (Yes/No),Notes on AI Governance Policies,Source
Alabama,AL,Not in sourceNo,Alabama Child Protection Act of 2024 (HB 168); Ala. Code § 14A-6-240.,Not in source,Alabama State Department of Education (ALSDE),Not in source,Not in source,AI Governance Committees.,Mandatory compliance audits; specific AI vendor contract language prohibiting unauthorized training; expands CSAM to include AI depictions.,Not in source,Not in source,AI Policy Template (2024) based on NIST standards; mandates human-in-the-loop; safe harbor for manipulated political media with disclaimer.,"26, 31, 32, 34, 55"
Alaska,AK,No,Not in source,"FERPA, COPPA, CIPA.",Alaska Dept. of Education & Early Development (DEED),eed.contact@alaska.gov,(907) 465-2800,Data Privacy Officers (District level recommended); AI K12 Advisory Group.,6-Step Policy Development Process; annual policy reviews; vendor vetting protocols; focus on cultural responsiveness and remote connectivity.,https://education.alaska.gov/,Yes,2025 K-12 AI framework focusing on ethics and literacy; mandates AI tools affirm diverse cultures and warns against misappropriation.,"26, 50, 51"
Arizona,AZ,No,SB 1450 (ARS Title 15 § 15-142); HB 2088; SB 1314.,Not in source,Arizona State Dept. of Education,Not in source,Not in source,Not in source,Parental consent for assessments; opt-out for directory info; operator prohibitions on targeted advertising.,Not in source,Not in source,Not in source,28
Arkansas,AR,No,HB 1961 (AR CODE § 6-18-109).,Not in source,Division of Elementary and Secondary Education,Not in source,Not in source,Not in source,Public entities must create AI authorized use policies (H 1958); prohibits operators from profiling or selling covered info.,Not in source,Not in source,H 1876 clarifies ownership of AI-generated content; H 1283 (Failed) sought digital media standards in K-12.,"28, 32"
California,CA,Yes,"SOPIPA (Bus. & Prof. Code § 22584-22585); AB 1584 (CA Educ. Code § 49073.1 - Third-Party Contracts); AB 1442 (CA Educ. Code § 49073.6 - Social Media Privacy); AB 2097 (CA Educ. Code § 49076.7 - Social Security Numbers); CCPA/CPRA (Cal. Civ. Code § 1798.100); AB 1008 (CCPA AI Extensions - Effective Jan 1, 2025); CA AI Transparency Act (SB 942/AB 853 - Cal. Bus. & Prof. Code § 22757); AB 2876 (AI Literacy in Curriculum); AB 2885 (AI Definition); SB 896 (State Agency AI Use)","FERPA, PPRA, COPPA.",California Department of Education (CDE),"CPPA Contact (Tom Kemp, Executive Director - 400 R St. Suite 350, Sacramento, CA 95811); CDE ""Learning With AI"" guidance resources available",Not in source,CDE Chief Privacy Officer; Records Officer (Gov. Code § 12270); Superintendent assigns student IDs (AB 2097).,Strict data minimization; mandatory deletion on request; vendors barred from non-educational data use; risk assessments for sensitive info; security procedures for covered info.,https://www.cde.ca.gov/ds/dp/,Yes,Executive Order N-12-23; CDE GenAI guidance; AB 2013 (training data transparency); vetoed SB 1047; SB 942 requires AI detection/disclosures.,"9, 14, 28, 31-34, 37-44"
Colorado,CO,Not in source,"Student Data Transparency and Security Act (HB 14-1294, HB 16-1423); Security Breach and PII Disposal (HB 18-1128 - Colo. Rev. Stat. § 6-1-713); Colorado AI Act (SB 24-205 - Colo. Rev. Stat. § 6-1-1701 - Effective Feb 1, 2026); HB 21-1110 (Accessibility in Information Technology); SB 24-288 (Preventing Unauthorized Disclosure of Intimate Digital Depictions - Effective Aug 6, 2025)",FERPA.,Colorado Department of Education,State Board of Education/Department of Education (data inventory & security management per HB 14-1294); Colorado Attorney General (AI regulation oversight per SB 24-205),Not in source,Not in source,SBE must publish data inventory; CPA mandates privacy risk assessments; mandatory breach notification within 30 days; HB 21-1110 web accessibility compliance.,Not in source,Not in source,SB 205 (effective 2026) bans algorithmic discrimination; 2024 Statewide Roadmap for AI in K-12; 2025 AI Skills Progression Guide.,"28, 31, 34, 39-41, 43, 46, 47"
Connecticut,CT,Not in sources://portal.ct.gov/SDE	Yes	SB 1103 (Act Concerning Student Data Privacy),HB 5469 (CT Gen St § 10-234aa); HB 5444; CT Data Privacy Act (§§ 42-515 et seq.).,Not in source,Connecticut Department of Education,Not in source,Not in source,Task force to study student data privacy (HB 5469).,Written contracts for data sharing; mandatory breach notification; prohibitions on targeted advertising/profiling; state agency AI inventory required.,Not in source,Yes,SB 1103 (Act Concerning AI); requires controllers to disclose if data is used to train LLMs; assessment of AI for disparate impact.,"28, 34"
Delaware,DE,Not in source,SB 79 (DE CODE Tit 14 § 8101A); SB 208.,Not in source,Not in source,Not in source,Not in source,Student Data Privacy Task Force.,Providers must implement security and delete data; prohibited from selling data or targeted advertising.,Not in source,Not in source,Not in source,28
District of Columbia,DC,Not in source,B21-0578 (DC CODE § 38-831.01).,Not in source,Local Education Agency (LEA),Not in source,Not in source,Not in source,Protecting Students Digital Privacy Act; mandatory security in LEA contracts; prohibits social media password access.,Not in source,Not in source,Not in source,28
Florida,FL,Not in source,SB 188 (FL ST § 1002.22); HB 731; HB 662 (2023); FL ST § 1012.34.,FERPA.,Florida Department of Education,Not in source,Not in source,District Superintendent (evaluation authority).,Prohibits collection of biometric/political info; mandatory use of VAM (50% of evaluation); prohibits bargaining on teacher evaluations.,Not in source,Not in source,Prohibits use of SSN as ID; prohibits operators from selling student info.,"28, 52, 59"
Georgia,GA,Not in source,SB 89 (GA CODE § 20-2-660).,Not in source,Georgia Department of Education (GaDOE),Not in source,Not in source,Not in source,"Prohibits AI for high-stakes tasks (IEP goals, grading); prohibits service providers from using data for commercial purposes.",Not in source,Not in source,"Adopted 'Traffic Light' system (Red/Yellow/Green) for classroom AI; ""Ethical Considerations in the Appropriate Use of AI for Educators"" (2025).","26, 28, 54, 55"
