entity_type,identifier,count,sample_url
facebook_group,734642463335208,1640,https://www.facebook.com/groups/734642463335208/user/100001185000800/?__cft__[0]=AZZUFfJcm4yrPNuyKHVEBwnAQ2TbihFubgAapohPU4Kfc4eAO2APpwhhDlOiUy_2DZHugHqZjzmsBjj4rEAnYanAAthiibDAvbb9141TdHzOAo2tYAhzwAn6fomUpXkdXwsnG2FRhpG3pL6yoGAljtYhOmXkpASb5PVEy-JA_rNkGNu6xU0x9x3zEY5duVlSyi2mxlvVqdJHB-5Mf3gLLaPk&__tn__=%3C%2CP-R
facebook_group,1449894341999363,1571,https://www.facebook.com/groups/1449894341999363/user/100001719166906/?__cft__[0]=AZatMPoxzXI-xCWSbZW_rKukQWtb2yJgymTbOzjlgn_htxybtIGWNT2k2k85TSdXfziNamVSXejwLobRHndfMhsLQQNajEZUyqHTcF9ozHEEr68eSm-QFto3IoiAlPF58GhT2yoI2tJqaWoB4DT5lSFzmck2otrRyGNRsEPkdBHHQ0BkuAnNpBw0vrBbhcYVhgIhlbp3FhFHbjBdNyXVTF74&__tn__=%3C%2CP-R
facebook_group,1704209863498222,683,https://www.facebook.com/groups/1704209863498222/user/100067945885430/?__cft__[0]=AZaiZ2VNODr1_ZCMmoPMkqk3RMNzdkDm88ZcqOpMpM0_xTX_SURkDhLiIL4Xwpkh5n9UqZVPi167EPA9dcTK8VKDUYNYtw0sIiqZl3WVTSwkVzFzxCGHFBiENZ3akKmIWn9l0VqlQwSKg55DxDU1FDmPLLiLdqxgHAIaVNPQxjwU0S-xhPmatsxXkKLtbemEleGVsWReAySy_Wnjm3TB4E2CfqO4JbNgSF_19pp_tk1r8Uij2O1S8tQvRmEqBVUWRwW-tauV0Oi7wqqWomc_L6EA&__tn__=%3C%2CP-y-R
facebook_group,therocksalt,660,https://www.facebook.com/groups/therocksalt/?__cft__[0]=AZYEvOEGEqTCRYZhieHAJpjZHH5ZchLA_UDM5-DgRR7xNWYyyUmE0uHnXFOcHNbmM0Qe9Zdj9wUItco_1yugslWPpiUVOKd6U83_DTTQUk7BKvGJDEPV8tTGkVRhA42QHbnm85Gr2NVHCNdMo_NHFpC5Ee8xwHlKM8xa3vl_h70Lax0KtFCqZWiNhf7LLY1IAjiCGueW4uLTisLoPc3XfIbq&__tn__=-UK-R
facebook_group,utahmusiciansnetwork,91,https://www.facebook.com/groups/utahmusiciansnetwork/posts/3825560080910082/?comment_id=3826280747504682&__cft__[0]=AZbGXADo_NmfGO3OJECkIg6js_N_rFb-rS4FWCXrEZc0puOkS-r2n1AqoZzvLn5BEW_D2KUxUEFgOSQReUmb-DM6iPsAaSNpX83xNuYjGxDTERtaYC_Xr_ilrBxiOiDSRb60tEq9ctk7JiKh2lChcpdGSIGw9YaVDdDJxsR6lEN7VjMcC-u4jNgJsyCrkrge5BN1SfBZF7o60Xc32mwLYHMd&__tn__=R-R
facebook_profile_id,61573678227561,27,https://www.facebook.com/profile.php?id=61573678227561&__cft__[0]=AZb3CP8c3YGn09emAcGxF_wYAaRGZH77x8MMFS7AzfsDp85LI0ZGB3cvBZZLlaPQvUgLRVmouACOZotF5qzlra4DfBuSUVt_XjZJtL1BvSZJ77d04bF9jSPJ3Wi857JIllzBmPJaCUfwfnQZnUcdwPJ41ACPSW6dh7YRRDhjOhPFXyNgyOoQFRJVirpTMnRtAZRU2obPjjAvEEXR4JUvAWa23oCvhDr76DKXAcH3QFp7fQ&__cft__[1]=AZbSZeJefx56acJ25KC7HsNdPq0Utv_Gjb1R3h0fk9s6QFQfdsm7ITP9oDA9shnzChCT8ODJ_abtopH8R_01KzmqhbznwPERdn4t0oZO4CHdU9VI_FtXh5SeQUuU7Ek6yQc9gzX5X-tBBoe-I-UBtFQ6a_y6JDdYij8xQ3-B78-3xlvfQWwPPYmcZ3r0VSROtgqlN5XTV0hwGBLmHRNwf4EW&__tn__=H-R
facebook_page,688717752,23,https://www.facebook.com/688717752/videos/pcb.3808551202610970/889958296812069?__cft__[0]=AZZXN_Y4YqCxIaRJljnqGZ1K-NxFdHh08UJwgqaVKUMYjHkxU1qr1r5B2nMN24sH7aK8k5F_2Ofw4T1V2zK9tS_YU-8qWo1PtTrx8uYB5gS-HywSjlWz9_WCpzlAJkPvZDlYEH9yCHc_Zhual5gLVyCJ_8iLGs6eEoEmbWCiPzjE6gDKadNmgX5uhGnJ4T_dwyyWhdmw01jynFMlHQcnPDEwfNTlFBxAOqxcEPxced-5f79payNgUQV0H1S6A4x0ow-iRNKrfDDnQ_GVof-q3lSm&__tn__=*b0H-y-R
facebook_page,wasatchwise,17,https://www.facebook.com/wasatchwise/videos/1870389904353283/?idorvanity=1704209863498222&__cft__[0]=AZZlHS7gsUsmUSLcj7vX15-KOFr3LSytw9yuo8WmZYF_CSmwNo8_OQ71ZNoDLPYTkZYt1z4harbtXj5RFVHPqn7BtwS78Tl50in0uqS1-SJ6Qs4gow4GzU_C8zBtK11N-mNlVHJTWYWq0-ZMbDDrdZk1B3sqmjy5aRMhgrkqcYUWDaMDtHLIVt4cvE3akqt9IhhwmMK9RlGKWQP7-jBYnpGJ&__tn__=%2B%3FFH-R
facebook_group,UtahBands,11,https://www.facebook.com/groups/UtahBands/posts/4369576050031163/?comment_id=4369654093356692&__cft__[0]=AZbMAZt35DaIYB0g7wTbKCh4DvEh9UV0RPtyfXdAAl7bPoAr3k9ADQvpwdNWW0udxMc7Of5x1LADijhQBwD1TEEKaMJrWD6IHNSh9es1QpjWGd7j__Kv9EZf-ndKH18AqxJFbHV025swGfG2p81P0fOFcAeYo-m6Mk0O_CVnlroP3DyEYRrm9gJDnf0MkHZsLc85OCHWHJkvD4lNx3n1NY_q&__tn__=R-R
facebook_page,ryan.mills.33633344,11,https://www.facebook.com/ryan.mills.33633344?__cft__[0]=AZaXJ-H4B790g3e2VKrvENVfXA980w-Vl3lnCKR1oLo8D7K0SEH-3fXVjQ4gmwMbQYfYam3BZyFcAAIjCxl2-6IFRy1cr8b20sdow8FirdQBXoJ0C4kGKmvyT82yTkq2yohA9hWfmfszbBuP3rg61zSn_3eXGjT-wqESYAm6-DXFa4UTi3Stsv_ieCJFYW0em-gbBanN03zWuTHDFyKEj4c-lsOKlLFiAEZBcLwNqnu4oQ&__tn__=-UC%2CP-y-R
