musician_name,band_name,band_slug,role,instrument
"Michael Gross","Whisperhawk",whisperhawk,"Founder, Vocals",""
"Michael Gross","The Brobecks",the-brobecks,"Guitar, Vocals",""
"Dallon Weekes","The Brobecks",the-brobecks,"Bass, Vocals",""
"Dallon Weekes","I Dont Know How But They Found Me (IDKHOW)",idkhow,"Founder, Vocals",""
"Dan Reynolds","Imagine Dragons",imagine-dragons,"Lead Vocals",""
"Tyler Glenn","Neon Trees",neon-trees,"Lead Vocals",""
"Bert McCracken","The Used",the-used,"Lead Vocals",""
"Meg Frampton","Meg & Dia",meg-and-dia,"Guitar",""
"Dia Frampton","Meg & Dia",meg-and-dia,"Lead Vocals",""
"Adam Klopp","Choir Boy",choir-boy,"Lead Vocals",""
"Allison Arana-Skvortsov","Willöh",willoh,"",""
"Dallon Weekes","I Dont Know How But They Found Me (IDKHOW)",i-dont-know-how-but-they-found-me,"Founder, Vocals; Bass, Vocals",""
"Gentry Densley","Iceburn",iceburn,"",""
"Gentry Densley","Eagle Twin",eagle-twin,"",""
"Jack Rutter","Ritt Momney",ritt-momney,"",""
"Kurt Landenberger","Dealin' in Dirt",dealin-in-dirt,"",""
"Mark Middlemas","Red Pete",red-pete,"",""
"Matt Parsons","Media Queen",media-queen,"",""
"Ryan Mills","Dirty Birds",dirty-birds,"",""
"Ryan Mills","Starmy",starmy,"",""
"Tyler Smith","Eagle Twin",eagle-twin,"",""
"Dan Whitesides","The Used",the-used,"",""
"Dan Whitesides","The New Transit Direction",the-new-transit-direction,"",""
"Dan Whitesides","Form of Rocket",form-of-rocket,"",""
"David Payne","The Red Bennies",the-red-bennies,"",""
"David Payne","Starmy",starmy,"",""
"Andy Patterson","Hudson River School",hudson-river-school,"",""
"Andy Patterson","Oxcross",oxcross,"",""
"Andy Patterson","SubRosa",subrosa,"",""
"Andy Patterson","Red Bennies",red-bennies,"",""
"Gentry Densley","Form of Rocket",form-of-rocket,"",""
"Tyler Smith","Clear",clear,"",""
"Tyler Smith","Form of Rocket",form-of-rocket,"",""
"Chaz Costello","Baby Ghosts",baby-ghosts,"",""
"Chaz Costello","Choir Boy",choir-boy,"",""
"Bret Meisenbach","Baby Ghosts",baby-ghosts,"",""
"Bret Meisenbach","Big Trub",big-trub,"",""
"Bret Meisenbach","Choir Boy",choir-boy,"",""
"Josh Asher","Clear",clear,"",""
"Josh Asher","The New Transit Direction",the-new-transit-direction,"",""
"Jason Knott","Clear",clear,"",""
"Sean McClaugherty","Clear",clear,"",""
"Mike Sartain","Starmy",starmy,"",""
"Mike Sartain","Red Bennies",red-bennies,"",""
"Eli Morrison","Red Bennies",red-bennies,"",""
"Pat Boyer","Baby Ghosts",baby-ghosts,"",""
"Ryan Seaman","The Brobecks",the-brobecks,"",""
"Ryan Seaman","I Dont Know How But They Found Me (IDKHOW)",idkhow,"",""
"Dave Jones","Oxcross",oxcross,"",""
"Levi Lebo","Clear",clear,"",""
"Mick Morris","Clear",clear,"",""
"Ben Dodds","Form of Rocket",form-of-rocket,"",""
"Ben Dodds","La Verkin",la-verkin,"",""
"Adam Sherlock","Sherlock",sherlock,"",""
"Scott Selfridge","Red Bennies",red-bennies,"",""
"Terrence Warburton","Red Bennies",red-bennies,"",""
"Dan Thomas","Red Bennies",red-bennies,"",""
"Dan Thomas","Tolchock Trio",tolchock-trio,"",""
"Tommy Nguyen","Red Bennies",red-bennies,"",""
"Tommy Nguyen","Tolchock Trio",tolchock-trio,"",""
"Ryan Fedor","Tolchock Trio",tolchock-trio,"",""
"Halee Jean","Red Bennies",red-bennies,"",""
"Andrew Tolman","Imagine Dragons",imagine-dragons,"",""
"Andrew Tolman","The Moth & The Flame",the-moth-and-the-flame,"",""
"Branden Steineckert","The Used",the-used,"",""
"Rebecca Vernon","SubRosa",subrosa,"",""
"John Lyman","Starmy",starmy,"",""
"John Lyman","Red Pete",red-pete,"",""
"John Lyman","Manlyman",manlyman,"",""
"Joshua Harmon","The Backseat Lovers",the-backseat-lovers,"",""
"Jonas Swanson","The Backseat Lovers",the-backseat-lovers,"",""
"Juice Welch","The Backseat Lovers",the-backseat-lovers,"",""
"KJ Ward","The Backseat Lovers",the-backseat-lovers,"",""
"David Flinn","Chelsea Grin",chelsea-grin,"",""
"Stephen Rutishauser","Chelsea Grin",chelsea-grin,"",""
"Tom Barber","Chelsea Grin",chelsea-grin,"",""
"Josh Miller","Chelsea Grin",chelsea-grin,"",""
"Neal Middleton","Royal Bliss",royal-bliss,"",""
"Taylor Richards","Royal Bliss",royal-bliss,"",""
"Jake Smith","Royal Bliss",royal-bliss,"",""
"Brian Hennessy","Royal Bliss",royal-bliss,"",""
"Andrew Wells","Eidola",eidola,"",""
"Matthew Dommer","Eidola",eidola,"",""
"Matthew Hansen","Eidola",eidola,"",""
"Sergio Medina","Eidola",eidola,"",""
"Ben Hoagland","Extortionist",extortionist,"",""
"Clayton Blue","Extortionist",extortionist,"",""
"Vince Alvarez","Extortionist",extortionist,"",""
"Steve Babcock","Hudson River School",hudson-river-school,"",""
"Spencer Jacobs","Hudson River School",hudson-river-school,"",""
"Bobby Brinton","Hudson River School",hudson-river-school,"",""
"Greg Baker","Hudson River School",hudson-river-school,"",""
"Al Robison","Protohorus Vex",protohorus-vex,"",""
"Aaron Davis","DimeDust",dimedust,"",""
"Cory Peterson","Freakbreed",freakbreed,"",""
"Cory Peterson","THE BIND",the-bind,"",""
"David Durrant","YESOUISI",yesouisi,"",""
"Ethan Stenis","Cosmic Fates",cosmic-fates,"",""
"John Moore","Death Persona",death-persona,"",""
"Kiri Monks","Graveyard Violet",graveyard-violet,"",""
"Ryan Mills","Gerald Music",gerald-music,"",""
"Ryan Mills","Hello Amsterdam",hello-amsterdam,"",""
"Ryan Mills","Sons of Carlisle",sons-of-carlisle,"",""
"Ryan Mills","Daisy Gray",daisy-gray,"",""
