id,name,slug,status
5319d809-2357-4e42-aefa-d55ae8ce8e8f,"1000 West",1000-west,active
370dd2ee-3bb7-4cdb-847f-2f371860a4ed,"19 Miles Per Hour",19-miles-per-hour,
5d64f4cb-5dc7-4427-a9ba-e57584b262ed,"4.PLAY",4-play,
a74a1030-65e4-4b66-a961-74325e45485f,"90s Television",90s-television,
96062154-d2db-435b-93a8-a891232f7b74,"Ablyss",ablyss,
722efcd0-a997-4124-942f-5f7e0aa6bc7d,"Acacia Ridge",acacia-ridge,
7cf9b13a-d41b-4eac-88e5-4da0aa34337f,"Accidente",accidente,active
d31dfb39-c406-4ffc-b865-1e972ea94c9a,"Ace 52",ace-52,
5062dc74-fb31-497a-bffa-25f297dffa1c,"Acid Tiger",acid-tiger,
9dcaeeff-25cd-416d-a51c-cca5222ab7a1,"Adherence",adherence,active
135c6fcf-bd44-4a92-a538-8067ca8cdffe,"Admitted Bastard",admitted-bastard,
4dc746d3-8845-45f6-a480-6e4f2936e606,"Advent Horizon",advent-horizon,
33e4e727-6164-4f5d-b914-17251f0f4970,"After Eden",after-eden,
c25d72d6-2b11-4cb1-ae16-008c54ad9a04,"Air Vent Dweller",air-vent-dweller,
8e510e68-1239-4d07-a7c3-322b65b938cb,"Alchemy",alchemy,
d142dfe2-e812-47f5-ba92-a413f653038f,"Alicia Stockman",alicia-stockman,
e5fc7caf-a6e3-4fd3-8913-a09a17fb68a9,"All Systems Fail",all-systems-fail,
bfc921c6-9b4e-4fbd-bbcb-7f1e8264a277,"Allo Monroe",allo-monroe,active
25c13ff2-0611-466a-8f00-e2f00e7444b0,"Allred",allred,
e763189b-ca3b-4c3a-a26c-a9cbc455bd34,"Alpine Loop",alpine-loop,
6e262c01-ab17-412c-86a5-9d6b80f23fce,"Always Her",always-her,
2fed0aa0-6e2a-408d-810e-b015ec289c6d,"Ambergris",ambergris,active
ad500c49-c714-417d-b703-b50d9c1b8433,"American Humor",american-humor,
913a3ad0-3895-4821-9819-989bfafb536c,"Apollo's Army",apollo-s-army,
077c81eb-401c-4d94-ae8f-39fb76236d9a,"Art of Kanly",art-of-kanly,active
79f163bd-feee-4b02-ad23-4fab0aa2cf24,"Ascend",ascend,active
ba00ec25-474f-4bb1-9d91-919e20704c53,"ATS",ats,
2afffef7-07ba-437d-b975-72b8e1a6b90f,"Aurhe",aurhe,
0bb84c80-986b-4b54-9286-ac54a3cc5bdb,"Awakening Autumn",awakening-autumn,
90aa3370-68c1-44ea-a0a5-cd81d3d98c2e,"Awol",awol,
51f44c05-90d4-45f3-9684-a21850f2d2d6,"Baby Ghosts",baby-ghosts,
f0a9d4a6-068f-40e6-92bd-92e0140bcd15,"Bad Heather",bad-heather,
ae6d838f-30e2-4359-af3a-c4a766c5cce7,"Bad Luck Brigade",bad-luck-brigade,
7a90ef09-85ac-4966-abcd-214c4cf8c19a,"Bat Manors",bat-manors,
b90306f5-5488-4f45-8761-481c9ad34bf6,"Bears On Parade",bears-on-parade,active
99776cea-fddf-4418-8508-0977cfff532e,"Beauty School Dropout",beauty-school-dropout,
e6b4c900-2684-4e64-9c2d-a5fb52178a55,"Before Braille",before-braille,
4d823a11-7c87-4373-a514-a1ed52aa4073,"Better in Color",better-in-color,
3f5f20d9-cf11-4272-9d48-df6f20930887,"Big Trub",big-trub,
10b00e06-b30c-4b28-ba8b-34fd9bfbbc1b,"Black Tie Event",black-tie-event,
b7851ee4-4273-4f26-a4d5-5b3144e5a338,"BLACKSHAPE",blackshape,
21774cd1-bccf-446f-b380-f5ae3c1ff135,"Bleu Grave",bleu-grave,
30bad94d-4f79-4c71-a41a-ffdfd656a9e1,"Blindlove",blindlove,
ecbd8c97-9627-4c26-91df-85b1fc475805,"Bloody Cabaret",bloody-cabaret,
49ca70d1-afaa-4a1d-8da4-5a986f2502f1,"Blue Bell",blue-bell,
aa037ed0-579d-4ef5-8394-a870be523ae1,"Blue Hour",blue-hour,active
69c16db3-f3bc-4382-b646-81b0d6276c39,"Bluebird Radio",bluebird-radio,active
3295616e-1488-4a56-ae53-943856ae244e,"Bluetip",bluetip,active
1de2203f-4558-4b1f-b213-97b0ef22c74e,"Bombs and Beating Hearts",bombs-and-beating-hearts,
039efb0a-de47-4c3c-afb4-bd751d8e5620,"Bone Throwers",bone-throwers,
44f7bfa6-1cdb-48d6-8c45-a3f37ab7bebb,"Botanical Animal",botanical-animal,
24933df5-a997-4e97-ad18-a6f56bb42024,"Boxcar Kids",boxcar-kids,
d5f4a86a-1dce-428b-a398-21e1b2f356b4,"Boycomma",boycomma,
3add59c7-f126-4fb4-85ef-237c3ed96c28,"Breakfast Biscuit",breakfast-biscuit,
7f17272d-7b64-49bf-b4d5-535ddf58eeee,"Broken Spells",broken-spells,active
6b2ac2b8-a3e0-48ba-a2ff-85bf51d60943,"Brother.",brother,
0afe4217-1a40-4d43-913b-966120112552,"Bruce Lee and the Streetfighters",bruce-lee-and-the-streetfighters,
94f1ede8-0809-462d-a2c7-670da574ee16,"Buckle Busters",buckle-busters,
3d3d65bd-20b4-42ae-b603-a96d3d3fa274,"Burnt Reynolds",burnt-reynolds,active
5e81134c-1914-4507-83af-79fbfa1433d1,"Burnt Reynolds and His Hot Bones",burnt-reynolds-and-his-hot-bones,active
f6e9d605-9814-4025-8505-3adc8f7fff1b,"Camo",camo,
5dd24eb2-9950-45f5-8bed-9966bacee402,"Cardinal Bloom",cardinal-bloom,
77ca5d2d-9f36-42c8-8f75-ee8fb1de801a,"Caroline's Spine",carolines-spine,
5813090c-e8fe-4b86-b4f0-6abcaacdb01e,"Caroline's Spine",caroline-s-spine,
f39da58f-8c8a-4fb4-9462-642d161be828,"CarrierWave",carrierwave,
ffe76431-fc57-4c8c-8ffd-0e01e2893934,"Casio Ghost",casio-ghost,
027a3699-2363-4f21-ac1d-a0017d59506f,"Catalogue",catalogue,
9fa348ae-b245-4e91-93fa-1faa7f241005,"CAYSN",caysn,
3d13cd1d-d52f-47bf-b0b7-cad44f5bcb81,"Cecret Souls",cecret-souls,
87d4831a-3bb3-43fa-9340-0c89256cb0ab,"Chac Xol",chac-xol,
49a93005-6634-483b-9182-b2f915487636,"Chainwhip",chainwhip,
1868bc58-1c63-45e9-aefa-830f344adba0,"CHALK",chalk,
e2d3b814-3e33-41f1-a61d-ecc7d810bb56,"Charlatan",charlatan,
904b9755-30f1-4cf7-8f68-cc24a6987c78,"Chelsea Grin",chelsea-grin,
711dc1e3-7015-431a-bb47-566a6a692fc4,"Chi Chi",chi-chi,
b07a2f5f-659d-4c63-9f17-9b1ed32c06a7,"Choir Boy",choir-boy,
ed688a72-a02d-4947-9dd4-e7610a8dd1f4,"Chronic Funk Disorder",chronic-funk-disorder,
fd806669-208b-4ef7-8482-49ac056bd7f1,"Chunk",chunk,
3160d7e8-dc5d-437c-b6aa-cc8af1259863,"Citizen Soldier",citizen-soldier,
7113f6dc-de94-43dd-a0d7-c13e816629d1,"Citrus",citrus,
10219569-d0d3-40cb-bc80-c75df29bb3dd,"Clear",clear,
35bad238-7011-493c-9321-e6639ef616a5,"Clover",clover,
44c9b254-e565-4b0c-9694-f607a863a24e,"CLUB MUNGO",club-mungo,
7bcb6a74-a40d-4271-b6ec-c6bb29ed6174,"Compass Rose",compass-rose,
49deacd1-c2d2-4bdf-96cd-a6712a6e6bd3,"Contingency Plan",contingency-plan,
03996ac5-2149-47a9-bf36-0d54d0d9a32f,"Cosmic Fates",cosmic-fates,active
5f95e0ad-f675-4dcd-84a2-d81cdc698d69,"Coyote Hoods",coyote-hoods,
0679a5e1-9f0a-468f-ac76-2a0012d82979,"Crow Killer",crow-killer,
feee7af7-e456-48dc-898f-bc090ebcade3,"Cult Leader",cult-leader,
f22df323-1a9f-47b1-84bd-05e7c47c23c3,"CUTIE",cutie,
f61ac81c-bb6f-4520-a386-5f3753c314a1,"Da Neighbors",da-neighbors,
a852ddae-74b3-4a8a-914c-7f250fae4546,"Daisy & The Moonshines",daisy-the-moonshines,active
dcc1aad1-a79a-4150-8156-bd1a545dff2a,"Daisy Gray",daisy-gray,active
e7770995-9e26-48f9-b623-5e0acd9dbbbe,"Daytime Lover",daytime-lover,active
577f0439-d31f-488e-947c-1a3aa5c46268,"Dealin' in Dirt",dealin-in-dirt,active
aef78e24-cda9-40ae-88dc-4aa9989a7285,"Death Persona",death-persona,active
535f29ac-a63e-4093-8925-2aaef74bea41,"Decontaminate",decontaminate,active
addb088e-e6b0-4757-b191-fcc09f5d6fa3,"Delune",delune,
62adbe56-9685-4cd6-9ec2-b7dc8193415c,"Desert Noises",desert-noises,active
17d04bb1-e32f-4641-bcfd-aafa3282cb11,"Desmo",desmo,
cfc98558-7be0-47fb-8612-03aede1f3bbd,"Deviance",deviance,active
77ebdb6b-c003-4c56-b526-cea598e56555,"Devin Barrus",devin-barrus,
ad188050-38ef-496e-bce8-a21f369b969b,"DieMonsterDie",diemonsterdie,
d01827a4-6d64-4648-a0a1-a79db8ce958d,"DimeDust",dimedust,active
c3f6ab01-89ba-4479-9b33-82e45653c3a1,"Dine Krew",dine-krew,
c5771f31-bbb8-46f1-bf85-1c847831f9ff,"Dinosaur Bone",dinosaur-bone,
c3707046-564a-4c0e-9c0c-daa5ad66edaf,"Dirty Birds",dirty-birds,
c66047a0-9ec3-49d4-b14c-70fe910ca8ea,"Dirty Vespuccis",dirty-vespuccis,
fb9acde4-3f4c-4d6a-87f2-5befcb63f95f,"Done",done,active
fab22169-f9e7-4bbe-8098-54cb9f3b9b74,"DoomCupcake",doomcupcake,
b3bf1188-bbf0-4d80-90cb-572b018255c2,"Down River",down-river,
040f37da-e5f8-4328-a355-5740bd410c9a,"Draize Method",draize-method,
2db2a803-e716-4cf1-a0f0-e0a6128c5d69,"Dryggs",dryggs,
d1769650-2667-4403-a5f6-bfeba2715682,"Dub Nectar",dub-nectar,active
9aa71e33-a22d-4c78-b3e1-8d88dda7d657,"Dumb Luck",dumb-luck,active
6971d90c-b4fa-434a-ac69-abdcdb8edbd9,"Dustbloom",dustbloom,
865ee711-34c9-4bde-b52d-d299a8c4b992,"Dvddy",dvddy,
4ed2b232-41c7-41f9-be04-8d7786be49b9,"Dwellers",dwellers,active
62e76e21-940f-49d5-94a0-85f4b9ed881b,"Eagle Twin",eagle-twin,
6191ca24-943b-496c-a282-622e061868ba,"Echo 63",echo-63,
7870a751-fde2-41df-9f20-26232d9905d0,"Eclipse",eclipse,
