id,name,slug,role
f9972417-a88b-46ec-98fa-61744f507f35,"Aaron Davis",aaron-davis,""
871d3cf4-c492-4d1d-8d3d-580fc93f842e,"Adam Klopp",adam-klopp,"Vocals"
a281d220-839a-4b72-a1b6-9570020374b0,"Adam Sherlock",adam-sherlock,""
8f5f7d43-dc37-4302-8c3b-11f94cd01307,"Al Robison",al-robison,""
62e5205f-2fb7-426e-b968-16f077d7bfff,"Allison Arana-Skvortsov",allison-arana-skvortsov,""
dca01662-f078-42c2-ac4d-d6074ad8a733,"Amber Jarvis",amber-jarvis,""
71f154ed-aa5c-4c73-b51e-3679531eae29,"Andrew Tolman",andrew-tolman,""
c22af7a3-9e00-4908-9a61-4d79f0f0c0e8,"Andrew Wells",andrew-wells,""
1e85bf6b-4d0d-4900-bc87-1ae6411ccee5,"Andy Patterson",andy-patterson,""
a38ac0f9-d1e7-4459-8bf4-1ad2bbb254a6,"Ben Dodds",ben-dodds,""
2b9a16f1-5824-4b8c-b556-5b810526b903,"Ben Hoagland",ben-hoagland,""
5a926297-31d2-4531-b910-5909bd7790d2,"Bert McCracken",bert-mccracken,"Vocals"
b5f74252-fbe8-487e-989a-f84512b925fc,"Beverly Smith",beverly-smith,""
c27c4233-a387-42e1-9b81-d68950b1ce4c,"Bobby Brinton",bobby-brinton,""
9b2bc4ea-fcf1-4542-8e71-b10ae67d90fa,"Branden Steineckert",branden-steineckert,""
7118a1aa-4984-41fb-93d8-dae61c61ab84,"Bret Meisenbach",bret-meisenbach,""
eab6f23a-9a46-48f0-a7b4-402057f870f0,"Brian Hennessy",brian-hennessy,""
a4417bf3-a9b8-4469-b68c-5be58fd3995c,"Cathy Foy",cathy-foy,""
530027f7-3838-4a31-9c4c-aa98f20766cd,"Charlie Tucker",charlie-tucker,""
42bd6e82-6077-4054-a4f9-37b8f8a8ec5e,"Chaz Costello",chaz-costello,""
c423d739-068d-4564-af76-8f9d2ebfe8b6,"Clayton Blue",clayton-blue,""
d7ae69ba-e264-41bd-aacb-8cf625c3dc69,"Cory Peterson",cory-peterson,""
980e541f-f311-4a0c-9b12-39d349a24e8d,"Dallon Weekes",dallon-weekes,"Vocals, Bass"
e01ab02c-2088-4f5a-be18-04c543a3498e,"Dan Reynolds",dan-reynolds,"Vocals"
715cdce3-d8f6-42f7-bb96-33aa7762d65f,"Dan Thomas",dan-thomas,""
f077fa0e-bfc1-4184-a4db-3b49b0ed52b9,"Dan Whitesides",dan-whitesides,""
f1f3ab86-fbdb-40bb-b4d8-e0ecb9423295,"Dave Jones",dave-jones,""
d7896d0c-4134-4f5b-8d89-241c49cb1272,"David Durrant",david-durrant,""
534a6c46-6ecc-4701-a501-b72084d43874,"David Flinn",david-flinn,""
73c4a74e-9a87-487a-9f05-15f28dcfb49e,"David Payne",david-payne,""
95c301a2-2a79-4cac-b4fd-f0f4e07f3b46,"Dia Frampton",dia-frampton,"Vocals"
4f4eb981-b9fa-4285-a203-104d2d19553e,"Eli Morrison",eli-morrison,""
5b5cf1f2-0b1f-47e4-b9ff-39214d5ee23e,"Ethan Stenis",ethan-stenis,""
b8da7bb1-f161-4879-9a99-8e45094a5789,"Gentry Densley",gentry-densley,""
5ae2348a-9475-4f85-a788-384c489c4ac5,"George Charles Nelson III",george-charles-nelson-iii,"Unknown - Folk/Americana"
662c7844-867f-493a-b68b-e230669f4da3,"Greg Baker",greg-baker,""
44b15120-0a8c-40c8-a01b-20584b7d5355,"Halee Jean",halee-jean,""
b3592ea1-e88d-49b9-a19d-03fe6e4dd91a,"Jack Rutter",jack-rutter,""
527e7fc9-30d0-4336-b6ae-64fc80f1f14f,"Jacob Hall",jacob-hall,""
d225ba64-dbe4-4d22-8d69-aafe1aca37e6,"Jake Smith",jake-smith,""
a7dab2f1-c238-4e30-a902-4288b6c91906,"Jared Asplund",jared-asplund,""
33084c76-fc71-4380-afc2-967026c8337c,"Jason Knott",jason-knott,""
fab62e97-35f2-45fa-9312-910e961cf30e,"Jesse Tucker",jesse-tucker,""
0c5f26d4-8423-4de4-b8a0-cdbc71f48080,"Joey Mayes",joey-mayes,""
501477ec-d355-4310-ac48-679ac0511f2d,"John Lyman",john-lyman,""
b8f796cb-c9d7-4292-b0bf-6a2bd3522689,"John Moore",john-moore,""
f1ed1d6f-a320-4774-8ec7-1f8d0cd1ff62,"Jonas Swanson",jonas-swanson,""
107b481f-c120-4104-ad30-9f0ef830b4df,"Josh Asher",josh-asher,""
8e01f4ef-2afc-454e-9f5a-adf7a7c6c8c2,"Josh Miller",josh-miller,""
24ba6802-00ba-41a4-9d5c-5923409993e0,"Joshua Harmon",joshua-harmon,""
bc7ed527-3c35-4214-8736-be271f6a4ada,"Juice Welch",juice-welch,""
5bb6f1df-df21-4e41-a99f-6b248ecbc82b,"Kiri Monks",kiri-monks,""
917c2705-c685-47cd-8bb9-45b4c95b57f0,"KJ Ward",kj-ward,""
240b2890-98cb-49f4-8d06-823c1663ff27,"Kurt Landenberger",kurt-landenberger,""
b942e7ff-f5d9-424e-8f63-cd7a6e320bca,"Lance Saunders",lance-saunders,"Owner"
55f8afef-1d50-4d06-817e-b4df5e35bc3b,"Levi Lebo",levi-lebo,""
4256ef73-7cd3-4928-bbb1-30ec8b59bfd7,"Mark Middlemas",mark-middlemas,""
e671588a-d380-440a-ae93-98bfaf2b78dd,"Matt G.",matt-g,""
371d2824-b84c-44f2-a94e-a5aa12f26dbc,"Matt Parsons",matt-parsons,""
eeaf82dc-3160-453d-a657-21b4df734dc3,"Matthew Dommer",matthew-dommer,""
3a526b40-df1c-4ca4-9a20-a3d5a420df4f,"Matthew Hansen",matthew-hansen,""
9d4f0bb2-7fed-4e65-a9e2-8809a8ebacc3,"Meg Frampton",meg-frampton,"Guitar, Vocals"
84a85d14-9eb7-4afe-b42d-3db4a95ad9af,"Michael Gross",michael-gross,"Vocals, Guitar"
3c0a5a7e-30ab-43fd-aaa9-8ef5f1f56fba,"Mick Morris",mick-morris,""
b6b30858-63bb-463e-a79d-cbf3b3a7c660,"Mike Sartain",mike-sartain,""
df451534-b973-4126-94b8-b1cfedfc0baa,"Neal Middleton",neal-middleton,""
96b969f4-cc95-4f84-892b-07a3cd02aae0,"Pat Boyer",pat-boyer,""
16617820-9d6d-4351-81ee-f1f1f00bc705,"Rebecca Vernon",rebecca-vernon,""
4fe69947-d369-4488-80ea-2e7632d381e3,"Rhett Malochowski",rhett-malochowski,""
46c42243-c016-4db3-85de-b7d0adb0e74f,"Rick Vance",rick-vance,""
4e38d90c-f4c2-4b02-86fd-5a15730573e5,"Ryan Fedor",ryan-fedor,""
7cef0f48-49b2-4b16-aafe-c9dde0d83ef1,"Ryan Mills",ryan-mills,""
be999963-ae96-4c95-8dd1-c7ed724d5850,"Ryan Seaman",ryan-seaman,""
3457891f-69f5-4368-b715-de4f02503382,"Scott Selfridge",scott-selfridge,""
a6c63211-95f4-4aae-9f52-1142d2bcf737,"Sean McClaugherty",sean-mcclaugherty,""
90ae11d8-45c4-4493-955b-32478d661e02,"Sergio Medina",sergio-medina,""
2aff75de-45a6-4d03-b37b-8a275d227f9f,"Shea Ledesma",shea-ledesma,""
653a7693-52e7-4f34-9151-81b18f0a926a,"Sonya Castillo",sonya-castillo,""
4089f5a2-86a7-4a02-8d23-874d01414bdb,"Spencer Jacobs",spencer-jacobs,""
f89f4054-17b6-48fd-9515-2e99ce0ce496,"Stephen Rutishauser",stephen-rutishauser,""
f04a3015-ea4a-461b-8108-2515cc387c71,"Steve Babcock",steve-babcock,""
a6c1843c-c23e-4766-8da1-367c60dca4db,"Steven Wells",steven-wells,""
793fd1ac-afa0-42c2-a426-7d72bed0a1ea,"Taylor Richards",taylor-richards,""
dd776d6a-ea0f-4c68-99fb-dbba28947ae4,"Terrence Warburton",terrence-warburton,""
86324a90-9736-4e74-80d0-5a9acb724735,"Thierry De Carvalho",thierry-de-carvalho,""
eec5d8b7-380a-4c78-82d5-f2990d3a5234,"Thomas Fowler",thomas-fowler,""
8602a191-b598-41bd-b58a-541c66fdf3e4,"Tom Barber",tom-barber,""
1a3be133-2fd3-42b9-ab26-fec6050f3355,"Tommy Nguyen",tommy-nguyen,""
ffd0461d-8674-46c6-9273-73758f96d2b5,"Tyler Glenn",tyler-glenn,"Vocals"
3d91cb21-e047-4937-83d3-95d9169d2370,"Tyler Smith",tyler-smith,""
2f71fe0a-c8ae-4cd6-9320-dc34f5c96b54,"Vince Alvarez",vince-alvarez,""
ea6808f7-993f-4355-8bf6-aadb4b4ba7b9,"Will Sartain",will-sartain,"Owner"
3fdad207-7217-42f4-87ce-037b127b37da,"Zak Davis",zak-davis,""
